Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins
0.083,0.0,0.083
0.083,0.0,0.083
0.083,0.0,0.083
0.013,0.0,0.013
0.156,0.0,0.156
0.156,0.0,0.156
0.156,0.0,0.156
0.156,0.0,0.156
0.138,0.0,0.138
0.138,0.0,0.138
0.163,0.0,0.163
0.163,0.0,0.163
0.312,0.0,0.312
0.312,0.0,0.312
0.312,0.0,0.312
0.312,0.0,0.312
0.312,0.0,0.312
0.312,0.0,0.312
0.183,0.0,0.183
0.183,0.0,0.183
0.183,0.0,0.183
0.183,0.0,0.183
0.183,0.0,0.183
0.183,0.0,0.183
0.183,0.0,0.183
0.155,0.0,0.155
0.155,0.0,0.155
0.155,0.0,0.155
0.155,0.0,0.155
0.218,0.0,0.218
0.287,0.0,0.287
0.155,0.0,0.155
0.155,0.0,0.155
0.127,0.0,0.127
0.127,0.0,0.127
0.127,0.0,0.127
0.127,0.0,0.127
0.127,0.0,0.127
0.127,0.0,0.127
0.127,0.0,0.127
0.127,0.0,0.127
0.127,0.0,0.127
0.09,0.0,0.09
0.09,0.0,0.09
0.09,0.0,0.09
0.09,0.0,0.09
0.14,0.0,0.14
0.086,0.0,0.086
0.086,0.0,0.086
0.086,0.0,0.086
0.086,0.0,0.086
0.086,0.0,0.086
0.109,0.0,0.109
0.109,0.0,0.109
0.109,0.0,0.109
0.109,0.0,0.109
0.109,0.0,0.109
0.034,0.0,0.034
0.034,0.0,0.034
0.162,0.0,0.162
0.162,0.0,0.162
0.162,0.0,0.162
0.162,0.0,0.162
0.099,0.0,0.099
0.099,0.0,0.099
0.099,0.0,0.099
0.099,0.0,0.099
0.099,0.0,0.099
0.197,0.0,0.197
0.065,0.0,0.065
0.065,0.0,0.065
0.065,0.0,0.065
0.065,0.0,0.065
0.065,0.0,0.065
0.065,0.0,0.065
0.136,0.0,0.136
0.136,0.0,0.136
0.136,0.0,0.136
0.136,0.0,0.136
0.136,0.0,0.136
0.136,0.0,0.136
